"Mono","MDM.IV","MDM.FABP4lo","MDM.FABP4hi","MDM.inflam","MDM.PLA2G7hi","IM"
"ACAA2","SIGLEC1","SIDT2","BSG","ADNP2","RUNX2","CDKN1A"
"MAML3","NRP1","SMIM15","CHRM3","SLC9A8","USP12","EIF4E3"
"DENND11","MTSS1","ZNF217","FDFT1","SLC1A3","MAST2","PDCD1LG2"
"UFC1","PHTF2","PLBD1","ERI1","AC253572.2","ADAMDEC1","CFLAR-AS1"
"RSL1D1","KLF9","ERP29","DGLUCY","ADCY3","PLD1","BCL2"
"METTL9","PLXNB2","MEGF9","ANKS1A","SLC30A4","MAP2K3","RMC1"
"HMGN3","TTBK2","HIPK2","CSTA","TYW1B","MAP4K3","LINC00513"
"NDUFA7","DCAF6","ESYT1","LY75","SNN","IGF1R","CGAS"
"COMT","TMEM51","LSM10","CCL23","CALHM6","IFNAR2","TNIP1"
"REX1BD","ACOT7","PHB","BST1","FKBP4","BTG3","HELB"
"SERTAD2","KDM7A","MTLN","MRTFB","LILRB2","SGK1","MX2"
"PRKDC","GIMAP7","ARL2","PYGL","BTG2","MINDY2","CASP3"
"ZNF280D","ZNF652","CPED1","HIBADH","LINC00513","HPS1","IFI44L"
"SHLD1","ICA1","TUFM","FCRL1","CD40","SLC6A6","BTG3"
"ANPEP","PDE7B","HNMT","KDM1A","CEMIP2","SEPHS2","ACOD1"
"SUCLA2","WNT2B","SCOC","CXCL3","GTPBP1","TRAF3IP2-AS1","TICAM2"
"ORAI1","GLO1","NUS1","TMEM63A","ATF3","TMEM208","HEIH"
"FKBP3","CENPP","TMEM160","NAA20","SAMD4B","CDS2","SRD5A1"
"CHCHD10","TLR5","SCIMP","MTLN","GBP2","WDFY1","ZC3H12C"
"RNF41","NNT","TRPV2","SLC7A8","CXCL10","SDF2L1","MYO1G"
"SUCLG1","SUFU","ABAT","CD302","UAP1","FOSL2","GBP3"
"TAX1BP3","SRGAP1","DECR1","OVCH1","CHORDC1","WARS","KLHL6"
"TMEM243","CD4","VWA8","NLRC4","ST8SIA4","MICAL1","ADAM19"
"MRPL41","HEATR5B","ALAS1","GBP3","IER3","GADD45B","UBALD2"
"SMIM30","SESN3","LDHB","VEGFB","CPD","LUCAT1","SPATA13"
"CSF1R","LTC4S","AL356124.1","SLCO2B1","CNN2","SLC38A6","ST8SIA4"
"SUN2","GOLIM4","CYB5R3","STXBP2","DNTTIP2","FGD6","PARP10"
"AL512603.2","PPM1L","RNF168","TNFSF13","EPG5","TDRD3","ERO1B"
"DUT","FRMD4B","COA3","JPT1","STIP1","ZBTB43","ARID5B"
"TFAM","ARL14EP","IARS2","ZDHHC3","CREM","TMEM181","GTPBP1"
"LYPLAL1","PFKP","H2AFZ","TTC39C","IL4R","B3GNT2","MARCKSL1"
"ERP29","DGLUCY","MRPL14","CD300LF","MYO1G","PEAK1","CREM"
"NARS","SLC2A13","ADH5","HVCN1","ARNTL2","HPS3","CKAP4"
"XPO4","B3GNT7","SPCS1","GPR65","FGR","GALM","MFN1"
"MAZ","MRPS28","HSDL2","MGLL","NUP62","EPG5","RNF114"
"MRPS15","SUCLG2","REX1BD","FTCDNL1","UGCG","VKORC1","UBE2Z"
"ANTKMT","ZMYND11","GTF2H5","SLC25A46","SPP1","DDIT3","PNPT1"
"PSMC5","S100PBP","POLR2F","MRPL14","NFKBIB","PLXND1","ERN1"
"SPCS1","MAML3","TNIK","COMT","LINC01619","MTFR1","SLC25A28"
"PDLIM1","IPO8","ABRACL","KCNE3","DGKD","EAF1","IRF9"
